Route_ID,State,Zone_ID,Route_Source,Patrol_Type,Risk_Level,Hotspot_Score,Crime_Count,Patrol_Date,Patrol_Shift,Start_Hour,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,Total_Checkpoints,Route_Checkpoints,Distance_KM,Estimated_Duration_Minutes,Assigned_Officers,Vehicle_Type,Route_Status
ROUTE000381,Assam,Zone_2,AI Predicted,High-Risk Patrol,HIGH,57.07,100,2027-05-14,Night,20,26.147751,91.743873,26.166155,91.728914,8,"[{""checkpoint"": 1, ""latitude"": 26.147751, ""longitude"": 91.743873}, {""checkpoint"": 2, ""latitude"": 26.161606, ""longitude"": 91.752222}, {""checkpoint"": 3, ""latitude"": 26.167288, ""longitude"": 91.759702}, {""checkpoint"": 4, ""latitude"": 26.156216, ""longitude"": 91.752996}, {""checkpoint"": 5, ""latitude"": 26.160649, ""longitude"": 91.738036}, {""checkpoint"": 6, ""latitude"": 26.149099, ""longitude"": 91.729113}, {""checkpoint"": 7, ""latitude"": 26.15556, ""longitude"": 91.733846}, {""checkpoint"": 8, ""latitude"": 26.166155, ""longitude"": 91.728914}]",7.83,23,6,Police SUV,Scheduled
ROUTE000382,Assam,Zone_7,Historical,Crime Prevention Patrol,HIGH,61.16,103,2026-09-08,Evening,16,26.151228,91.745325,26.167243,91.745161,8,"[{""checkpoint"": 1, ""latitude"": 26.151228, ""longitude"": 91.745325}, {""checkpoint"": 2, ""latitude"": 26.15027, ""longitude"": 91.744734}, {""checkpoint"": 3, ""latitude"": 26.156969, ""longitude"": 91.730478}, {""checkpoint"": 4, ""latitude"": 26.145066, ""longitude"": 91.727866}, {""checkpoint"": 5, ""latitude"": 26.155627, ""longitude"": 91.735708}, {""checkpoint"": 6, ""latitude"": 26.164774, ""longitude"": 91.73728}, {""checkpoint"": 7, ""latitude"": 26.157484, ""longitude"": 91.739961}, {""checkpoint"": 8, ""latitude"": 26.167243, ""longitude"": 91.745161}]",22.32,33,4,Police Jeep,Completed
ROUTE000383,Assam,Zone_15,Historical,High-Risk Patrol,HIGH,52.86,98,2027-04-05,Evening,16,26.155424,91.708375,26.147896,91.713502,7,"[{""checkpoint"": 1, ""latitude"": 26.155424, ""longitude"": 91.708375}, {""checkpoint"": 2, ""latitude"": 26.159066, ""longitude"": 91.717029}, {""checkpoint"": 3, ""latitude"": 26.148829, ""longitude"": 91.716117}, {""checkpoint"": 4, ""latitude"": 26.15923, ""longitude"": 91.72224}, {""checkpoint"": 5, ""latitude"": 26.17016, ""longitude"": 91.719651}, {""checkpoint"": 6, ""latitude"": 26.160883, ""longitude"": 91.721684}, {""checkpoint"": 7, ""latitude"": 26.147896, ""longitude"": 91.713502}]",20.69,44,5,Police Jeep,Cancelled
ROUTE000384,Assam,Zone_22,AI Predicted,Community Patrol,LOW,23.06,76,2027-06-16,Evening,12,26.111796,91.735591,26.106828,91.760794,7,"[{""checkpoint"": 1, ""latitude"": 26.111796, ""longitude"": 91.735591}, {""checkpoint"": 2, ""latitude"": 26.10153, ""longitude"": 91.749897}, {""checkpoint"": 3, ""latitude"": 26.096677, ""longitude"": 91.763281}, {""checkpoint"": 4, ""latitude"": 26.105263, ""longitude"": 91.772498}, {""checkpoint"": 5, ""latitude"": 26.090959, ""longitude"": 91.764123}, {""checkpoint"": 6, ""latitude"": 26.100577, ""longitude"": 91.768492}, {""checkpoint"": 7, ""latitude"": 26.106828, ""longitude"": 91.760794}]",22.73,62,3,Police Car,Scheduled
ROUTE000385,Assam,Zone_46,AI Predicted,High-Risk Patrol,HIGH,50.95,98,2027-07-08,Night,0,26.154665,91.781783,26.14225,91.735642,7,"[{""checkpoint"": 1, ""latitude"": 26.154665, ""longitude"": 91.781783}, {""checkpoint"": 2, ""latitude"": 26.157287, ""longitude"": 91.76811}, {""checkpoint"": 3, ""latitude"": 26.16951, ""longitude"": 91.754428}, {""checkpoint"": 4, ""latitude"": 26.168072, ""longitude"": 91.741024}, {""checkpoint"": 5, ""latitude"": 26.163167, ""longitude"": 91.741549}, {""checkpoint"": 6, ""latitude"": 26.150978, ""longitude"": 91.734255}, {""checkpoint"": 7, ""latitude"": 26.14225, ""longitude"": 91.735642}]",24.86,41,4,Police Jeep,Scheduled
ROUTE000386,Assam,Zone_27,AI Predicted,Rapid Response Patrol,CRITICAL,82.86,118,2026-12-01,Night,0,26.140055,91.723889,26.129475,91.751466,8,"[{""checkpoint"": 1, ""latitude"": 26.140055, ""longitude"": 91.723889}, {""checkpoint"": 2, ""latitude"": 26.142222, ""longitude"": 91.734321}, {""checkpoint"": 3, ""latitude"": 26.149664, ""longitude"": 91.748912}, {""checkpoint"": 4, ""latitude"": 26.15067, ""longitude"": 91.745246}, {""checkpoint"": 5, ""latitude"": 26.149215, ""longitude"": 91.737784}, {""checkpoint"": 6, ""latitude"": 26.135491, ""longitude"": 91.735311}, {""checkpoint"": 7, ""latitude"": 26.130734, ""longitude"": 91.747503}, {""checkpoint"": 8, ""latitude"": 26.129475, ""longitude"": 91.751466}]",5.81,8,7,Rapid Response Vehicle,Cancelled
ROUTE000387,Assam,Zone_55,AI Predicted,High-Risk Patrol,HIGH,57.93,102,2026-09-26,Morning,8,26.134152,91.715093,26.124633,91.735235,6,"[{""checkpoint"": 1, ""latitude"": 26.134152, ""longitude"": 91.715093}, {""checkpoint"": 2, ""latitude"": 26.120755, ""longitude"": 91.709603}, {""checkpoint"": 3, ""latitude"": 26.128125, ""longitude"": 91.719659}, {""checkpoint"": 4, ""latitude"": 26.123113, ""longitude"": 91.733983}, {""checkpoint"": 5, ""latitude"": 26.124296, ""longitude"": 91.728282}, {""checkpoint"": 6, ""latitude"": 26.124633, ""longitude"": 91.735235}]",14.07,40,4,Police SUV,Scheduled
ROUTE000388,Assam,Zone_7,AI Predicted,High-Risk Patrol,HIGH,61.16,103,2027-06-08,Night,0,26.15503,91.7609,26.173398,91.739844,8,"[{""checkpoint"": 1, ""latitude"": 26.15503, ""longitude"": 91.7609}, {""checkpoint"": 2, ""latitude"": 26.156779, ""longitude"": 91.772027}, {""checkpoint"": 3, ""latitude"": 26.154399, ""longitude"": 91.762719}, {""checkpoint"": 4, ""latitude"": 26.1565, ""longitude"": 91.761659}, {""checkpoint"": 5, ""latitude"": 26.169245, ""longitude"": 91.760344}, {""checkpoint"": 6, ""latitude"": 26.181062, ""longitude"": 91.750311}, {""checkpoint"": 7, ""latitude"": 26.166155, ""longitude"": 91.741164}, {""checkpoint"": 8, ""latitude"": 26.173398, ""longitude"": 91.739844}]",17.44,25,5,Police Jeep,Completed
ROUTE000389,Assam,Zone_8,AI Predicted,Preventive Patrol,MEDIUM,29.74,84,2026-09-20,Night,20,26.086509,91.722161,26.090312,91.731583,6,"[{""checkpoint"": 1, ""latitude"": 26.086509, ""longitude"": 91.722161}, {""checkpoint"": 2, ""latitude"": 26.084864, ""longitude"": 91.731657}, {""checkpoint"": 3, ""latitude"": 26.090339, ""longitude"": 91.722662}, {""checkpoint"": 4, ""latitude"": 26.091101, ""longitude"": 91.731184}, {""checkpoint"": 5, ""latitude"": 26.081165, ""longitude"": 91.743011}, {""checkpoint"": 6, ""latitude"": 26.090312, ""longitude"": 91.731583}]",7.51,12,2,Police Car,Scheduled
ROUTE000390,Assam,Zone_35,AI Predicted,Routine Patrol,MEDIUM,45.03,93,2026-10-15,Night,0,26.17881,91.721732,26.187021,91.729305,5,"[{""checkpoint"": 1, ""latitude"": 26.17881, ""longitude"": 91.721732}, {""checkpoint"": 2, ""latitude"": 26.18549, ""longitude"": 91.735767}, {""checkpoint"": 3, ""latitude"": 26.188146, ""longitude"": 91.74269}, {""checkpoint"": 4, ""latitude"": 26.188017, ""longitude"": 91.738443}, {""checkpoint"": 5, ""latitude"": 26.187021, ""longitude"": 91.729305}]",19.98,36,3,Police Car,Completed
ROUTE000391,Assam,Zone_52,AI Predicted,Routine Patrol,MEDIUM,41.07,91,2027-02-28,Morning,6,26.12978,91.760254,26.137074,91.76304,8,"[{""checkpoint"": 1, ""latitude"": 26.12978, ""longitude"": 91.760254}, {""checkpoint"": 2, ""latitude"": 26.136751, ""longitude"": 91.770493}, {""checkpoint"": 3, ""latitude"": 26.133478, ""longitude"": 91.759843}, {""checkpoint"": 4, ""latitude"": 26.141382, ""longitude"": 91.751612}, {""checkpoint"": 5, ""latitude"": 26.141812, ""longitude"": 91.76183}, {""checkpoint"": 6, ""latitude"": 26.13521, ""longitude"": 91.763798}, {""checkpoint"": 7, ""latitude"": 26.146582, ""longitude"": 91.755491}, {""checkpoint"": 8, ""latitude"": 26.137074, ""longitude"": 91.76304}]",18.15,29,2,Police Motorcycle,In Progress
ROUTE000392,Assam,Zone_12,Historical,Routine Patrol,MEDIUM,43.42,93,2026-11-09,Morning,8,26.116312,91.736013,26.112938,91.722307,6,"[{""checkpoint"": 1, ""latitude"": 26.116312, ""longitude"": 91.736013}, {""checkpoint"": 2, ""latitude"": 26.125474, ""longitude"": 91.728738}, {""checkpoint"": 3, ""latitude"": 26.119291, ""longitude"": 91.724367}, {""checkpoint"": 4, ""latitude"": 26.111096, ""longitude"": 91.730111}, {""checkpoint"": 5, ""latitude"": 26.111454, ""longitude"": 91.72692}, {""checkpoint"": 6, ""latitude"": 26.112938, ""longitude"": 91.722307}]",13.03,28,3,Police Motorcycle,Cancelled
ROUTE000393,Assam,Zone_5,AI Predicted,Crime Prevention Patrol,HIGH,62.07,105,2027-07-30,Evening,16,26.107908,91.735814,26.105645,91.791752,8,"[{""checkpoint"": 1, ""latitude"": 26.107908, ""longitude"": 91.735814}, {""checkpoint"": 2, ""latitude"": 26.109553, ""longitude"": 91.750083}, {""checkpoint"": 3, ""latitude"": 26.099564, ""longitude"": 91.762079}, {""checkpoint"": 4, ""latitude"": 26.101748, ""longitude"": 91.771981}, {""checkpoint"": 5, ""latitude"": 26.107858, ""longitude"": 91.770135}, {""checkpoint"": 6, ""latitude"": 26.108339, ""longitude"": 91.784526}, {""checkpoint"": 7, ""latitude"": 26.111045, ""longitude"": 91.78062}, {""checkpoint"": 8, ""latitude"": 26.105645, ""longitude"": 91.791752}]",15.84,37,4,Police SUV,Cancelled
ROUTE000394,Assam,Zone_38,AI Predicted,High-Risk Patrol,HIGH,53.99,100,2027-05-05,Morning,6,26.140851,91.718927,26.12722,91.728225,6,"[{""checkpoint"": 1, ""latitude"": 26.140851, ""longitude"": 91.718927}, {""checkpoint"": 2, ""latitude"": 26.133944, ""longitude"": 91.731475}, {""checkpoint"": 3, ""latitude"": 26.120788, ""longitude"": 91.735704}, {""checkpoint"": 4, ""latitude"": 26.106587, ""longitude"": 91.742204}, {""checkpoint"": 5, ""latitude"": 26.113607, ""longitude"": 91.742766}, {""checkpoint"": 6, ""latitude"": 26.12722, ""longitude"": 91.728225}]",5.35,8,5,Police Jeep,In Progress
ROUTE000395,Assam,Zone_45,AI Predicted,Preventive Patrol,MEDIUM,27.24,81,2026-09-18,Night,20,26.175754,91.751855,26.209965,91.750448,5,"[{""checkpoint"": 1, ""latitude"": 26.175754, ""longitude"": 91.751855}, {""checkpoint"": 2, ""latitude"": 26.18624, ""longitude"": 91.747316}, {""checkpoint"": 3, ""latitude"": 26.188297, ""longitude"": 91.749397}, {""checkpoint"": 4, ""latitude"": 26.200628, ""longitude"": 91.740898}, {""checkpoint"": 5, ""latitude"": 26.209965, ""longitude"": 91.750448}]",6.46,14,4,Police Motorcycle,Scheduled
ROUTE000396,Assam,Zone_43,AI Predicted,Preventive Patrol,MEDIUM,48.15,95,2027-01-25,Evening,18,26.148353,91.736837,26.143726,91.743172,4,"[{""checkpoint"": 1, ""latitude"": 26.148353, ""longitude"": 91.736837}, {""checkpoint"": 2, ""latitude"": 26.151372, ""longitude"": 91.736467}, {""checkpoint"": 3, ""latitude"": 26.144674, ""longitude"": 91.747395}, {""checkpoint"": 4, ""latitude"": 26.143726, ""longitude"": 91.743172}]",23.75,65,4,Police Motorcycle,Cancelled
ROUTE000397,Assam,Zone_25,AI Predicted,High-Risk Patrol,HIGH,51.55,97,2027-03-28,Evening,12,26.170404,91.720393,26.178939,91.727124,8,"[{""checkpoint"": 1, ""latitude"": 26.170404, ""longitude"": 91.720393}, {""checkpoint"": 2, ""latitude"": 26.17255, ""longitude"": 91.720728}, {""checkpoint"": 3, ""latitude"": 26.18403, ""longitude"": 91.71604}, {""checkpoint"": 4, ""latitude"": 26.194584, ""longitude"": 91.706249}, {""checkpoint"": 5, ""latitude"": 26.19296, ""longitude"": 91.715584}, {""checkpoint"": 6, ""latitude"": 26.182179, ""longitude"": 91.723124}, {""checkpoint"": 7, ""latitude"": 26.175825, ""longitude"": 91.732256}, {""checkpoint"": 8, ""latitude"": 26.178939, ""longitude"": 91.727124}]",12.27,37,4,Police Jeep,Cancelled
ROUTE000398,Assam,Zone_17,AI Predicted,Preventive Patrol,MEDIUM,33.7,83,2026-11-11,Night,20,26.137542,91.756231,26.163359,91.772031,7,"[{""checkpoint"": 1, ""latitude"": 26.137542, ""longitude"": 91.756231}, {""checkpoint"": 2, ""latitude"": 26.140883, ""longitude"": 91.771033}, {""checkpoint"": 3, ""latitude"": 26.152953, ""longitude"": 91.778989}, {""checkpoint"": 4, ""latitude"": 26.159719, ""longitude"": 91.793381}, {""checkpoint"": 5, ""latitude"": 26.159594, ""longitude"": 91.783833}, {""checkpoint"": 6, ""latitude"": 26.163205, ""longitude"": 91.77337}, {""checkpoint"": 7, ""latitude"": 26.163359, ""longitude"": 91.772031}]",13.94,26,2,Police Motorcycle,Completed
ROUTE000399,Assam,Zone_28,AI Predicted,Preventive Patrol,MEDIUM,34.75,84,2026-11-24,Evening,16,26.156363,91.719151,26.148475,91.722806,7,"[{""checkpoint"": 1, ""latitude"": 26.156363, ""longitude"": 91.719151}, {""checkpoint"": 2, ""latitude"": 26.153907, ""longitude"": 91.733794}, {""checkpoint"": 3, ""latitude"": 26.159837, ""longitude"": 91.748253}, {""checkpoint"": 4, ""latitude"": 26.161553, ""longitude"": 91.743913}, {""checkpoint"": 5, ""latitude"": 26.147778, ""longitude"": 91.740597}, {""checkpoint"": 6, ""latitude"": 26.160761, ""longitude"": 91.73335}, {""checkpoint"": 7, ""latitude"": 26.148475, ""longitude"": 91.722806}]",8.43,25,3,Police Car,In Progress
ROUTE000400,Assam,Zone_22,Historical,Community Patrol,LOW,23.06,76,2026-10-09,Morning,6,26.136702,91.713783,26.136154,91.727781,4,"[{""checkpoint"": 1, ""latitude"": 26.136702, ""longitude"": 91.713783}, {""checkpoint"": 2, ""latitude"": 26.130117, ""longitude"": 91.718596}, {""checkpoint"": 3, ""latitude"": 26.131572, ""longitude"": 91.727102}, {""checkpoint"": 4, ""latitude"": 26.136154, ""longitude"": 91.727781}]",24.81,37,3,Police Motorcycle,Cancelled
ROUTE000401,Bihar,Zone_11,AI Predicted,Crime Prevention Patrol,HIGH,74.18,113,2026-11-27,Night,0,25.558709,85.178133,25.544836,85.181725,8,"[{""checkpoint"": 1, ""latitude"": 25.558709, ""longitude"": 85.178133}, {""checkpoint"": 2, ""latitude"": 25.565341, ""longitude"": 85.190532}, {""checkpoint"": 3, ""latitude"": 25.559695, ""longitude"": 85.185196}, {""checkpoint"": 4, ""latitude"": 25.564118, ""longitude"": 85.183541}, {""checkpoint"": 5, ""latitude"": 25.569129, ""longitude"": 85.175298}, {""checkpoint"": 6, ""latitude"": 25.567154, ""longitude"": 85.177512}, {""checkpoint"": 7, ""latitude"": 25.55315, ""longitude"": 85.168252}, {""checkpoint"": 8, ""latitude"": 25.544836, ""longitude"": 85.181725}]",18.6,38,4,Police Jeep,Scheduled
ROUTE000402,Bihar,Zone_18,Historical,Preventive Patrol,MEDIUM,42.66,90,2027-05-31,Evening,16,25.618565,85.132495,25.616737,85.137401,7,"[{""checkpoint"": 1, ""latitude"": 25.618565, ""longitude"": 85.132495}, {""checkpoint"": 2, ""latitude"": 25.609266, ""longitude"": 85.13338}, {""checkpoint"": 3, ""latitude"": 25.607933, ""longitude"": 85.118575}, {""checkpoint"": 4, ""latitude"": 25.606254, ""longitude"": 85.114812}, {""checkpoint"": 5, ""latitude"": 25.607465, ""longitude"": 85.116132}, {""checkpoint"": 6, ""latitude"": 25.62082, ""longitude"": 85.126209}, {""checkpoint"": 7, ""latitude"": 25.616737, ""longitude"": 85.137401}]",22.95,34,3,Police Motorcycle,Cancelled
ROUTE000403,Bihar,Zone_54,AI Predicted,Crime Prevention Patrol,HIGH,72.53,112,2027-01-31,Evening,16,25.578793,85.136694,25.561375,85.140865,5,"[{""checkpoint"": 1, ""latitude"": 25.578793, ""longitude"": 85.136694}, {""checkpoint"": 2, ""latitude"": 25.566509, ""longitude"": 85.12995}, {""checkpoint"": 3, ""latitude"": 25.568053, ""longitude"": 85.126811}, {""checkpoint"": 4, ""latitude"": 25.566272, ""longitude"": 85.129753}, {""checkpoint"": 5, ""latitude"": 25.561375, ""longitude"": 85.140865}]",4.94,8,6,Police Jeep,Cancelled
ROUTE000404,Bihar,Zone_24,Historical,Rapid Response Patrol,CRITICAL,75.91,114,2027-04-28,Night,22,25.586571,85.151293,25.574892,85.117952,8,"[{""checkpoint"": 1, ""latitude"": 25.586571, ""longitude"": 85.151293}, {""checkpoint"": 2, ""latitude"": 25.581544, ""longitude"": 85.154093}, {""checkpoint"": 3, ""latitude"": 25.58904, ""longitude"": 85.146861}, {""checkpoint"": 4, ""latitude"": 25.592722, ""longitude"": 85.147989}, {""checkpoint"": 5, ""latitude"": 25.598522, ""longitude"": 85.14262}, {""checkpoint"": 6, ""latitude"": 25.594837, ""longitude"": 85.136653}, {""checkpoint"": 7, ""latitude"": 25.584775, ""longitude"": 85.130081}, {""checkpoint"": 8, ""latitude"": 25.574892, ""longitude"": 85.117952}]",6.78,12,6,Rapid Response Vehicle,Scheduled
ROUTE000405,Bihar,Zone_57,Historical,Routine Patrol,MEDIUM,49.34,95,2027-07-03,Morning,6,25.575706,85.126857,25.595574,85.133427,4,"[{""checkpoint"": 1, ""latitude"": 25.575706, ""longitude"": 85.126857}, {""checkpoint"": 2, ""latitude"": 25.567769, ""longitude"": 85.130307}, {""checkpoint"": 3, ""latitude"": 25.5822, ""longitude"": 85.12188}, {""checkpoint"": 4, ""latitude"": 25.595574, ""longitude"": 85.133427}]",4.05,6,3,Police Car,Scheduled
ROUTE000406,Bihar,Zone_15,AI Predicted,High-Risk Patrol,HIGH,53.7,99,2027-05-30,Evening,18,25.576024,85.138179,25.584455,85.129265,7,"[{""checkpoint"": 1, ""latitude"": 25.576024, ""longitude"": 85.138179}, {""checkpoint"": 2, ""latitude"": 25.584521, ""longitude"": 85.146802}, {""checkpoint"": 3, ""latitude"": 25.582795, ""longitude"": 85.150188}, {""checkpoint"": 4, ""latitude"": 25.584012, ""longitude"": 85.152202}, {""checkpoint"": 5, ""latitude"": 25.580054, ""longitude"": 85.149552}, {""checkpoint"": 6, ""latitude"": 25.582262, ""longitude"": 85.139161}, {""checkpoint"": 7, ""latitude"": 25.584455, ""longitude"": 85.129265}]",23.02,43,6,Police SUV,Completed
ROUTE000407,Bihar,Zone_26,Historical,Preventive Patrol,MEDIUM,37.96,86,2026-08-23,Night,2,25.606391,85.143387,25.62003,85.180697,5,"[{""checkpoint"": 1, ""latitude"": 25.606391, ""longitude"": 85.143387}, {""checkpoint"": 2, ""latitude"": 25.610215, ""longitude"": 85.152043}, {""checkpoint"": 3, ""latitude"": 25.612988, ""longitude"": 85.157499}, {""checkpoint"": 4, ""latitude"": 25.612516, ""longitude"": 85.170851}, {""checkpoint"": 5, ""latitude"": 25.62003, ""longitude"": 85.180697}]",17.21,41,2,Police Car,In Progress
ROUTE000408,Bihar,Zone_19,AI Predicted,Routine Patrol,MEDIUM,43.72,92,2027-02-19,Night,20,25.624868,85.144423,25.628086,85.131036,4,"[{""checkpoint"": 1, ""latitude"": 25.624868, ""longitude"": 85.144423}, {""checkpoint"": 2, ""latitude"": 25.63451, ""longitude"": 85.150537}, {""checkpoint"": 3, ""latitude"": 25.629093, ""longitude"": 85.139173}, {""checkpoint"": 4, ""latitude"": 25.628086, ""longitude"": 85.131036}]",14.47,41,3,Police Motorcycle,Completed
ROUTE000409,Bihar,Zone_36,Historical,Routine Patrol,MEDIUM,46.68,95,2026-11-14,Night,2,25.572442,85.125834,25.547108,85.153438,5,"[{""checkpoint"": 1, ""latitude"": 25.572442, ""longitude"": 85.125834}, {""checkpoint"": 2, ""latitude"": 25.567414, ""longitude"": 85.133181}, {""checkpoint"": 3, ""latitude"": 25.560735, ""longitude"": 85.136973}, {""checkpoint"": 4, ""latitude"": 25.55385, ""longitude"": 85.138891}, {""checkpoint"": 5, ""latitude"": 25.547108, ""longitude"": 85.153438}]",15.09,43,3,Police Motorcycle,Completed
ROUTE000410,Bihar,Zone_13,Historical,Preventive Patrol,MEDIUM,45.25,94,2027-05-07,Evening,16,25.601563,85.130381,25.574492,85.094046,5,"[{""checkpoint"": 1, ""latitude"": 25.601563, ""longitude"": 85.130381}, {""checkpoint"": 2, ""latitude"": 25.610971, ""longitude"": 85.116639}, {""checkpoint"": 3, ""latitude"": 25.602018, ""longitude"": 85.110523}, {""checkpoint"": 4, ""latitude"": 25.589091, ""longitude"": 85.102961}, {""checkpoint"": 5, ""latitude"": 25.574492, ""longitude"": 85.094046}]",4.45,7,4,Police Car,Cancelled
ROUTE000411,Bihar,Zone_17,AI Predicted,Preventive Patrol,MEDIUM,26.96,82,2027-02-12,Night,20,25.59101,85.124373,25.617354,85.149781,7,"[{""checkpoint"": 1, ""latitude"": 25.59101, ""longitude"": 85.124373}, {""checkpoint"": 2, ""latitude"": 25.587572, ""longitude"": 85.117294}, {""checkpoint"": 3, ""latitude"": 25.596089, ""longitude"": 85.125516}, {""checkpoint"": 4, ""latitude"": 25.589209, ""longitude"": 85.136381}, {""checkpoint"": 5, ""latitude"": 25.5927, ""longitude"": 85.130618}, {""checkpoint"": 6, ""latitude"": 25.60705, ""longitude"": 85.135714}, {""checkpoint"": 7, ""latitude"": 25.617354, ""longitude"": 85.149781}]",10.9,17,3,Police Motorcycle,In Progress
ROUTE000412,Bihar,Zone_58,Historical,High-Risk Patrol,HIGH,57.82,101,2026-12-16,Night,0,25.594167,85.148866,25.622745,85.148,8,"[{""checkpoint"": 1, ""latitude"": 25.594167, ""longitude"": 85.148866}, {""checkpoint"": 2, ""latitude"": 25.5964, ""longitude"": 85.14783}, {""checkpoint"": 3, ""latitude"": 25.609962, ""longitude"": 85.141552}, {""checkpoint"": 4, ""latitude"": 25.608521, ""longitude"": 85.150559}, {""checkpoint"": 5, ""latitude"": 25.605274, ""longitude"": 85.147324}, {""checkpoint"": 6, ""latitude"": 25.614015, ""longitude"": 85.150178}, {""checkpoint"": 7, ""latitude"": 25.611949, ""longitude"": 85.157511}, {""checkpoint"": 8, ""latitude"": 25.622745, ""longitude"": 85.148}]",21.77,34,5,Police SUV,Completed
ROUTE000413,Bihar,Zone_44,AI Predicted,Routine Patrol,MEDIUM,45.25,94,2027-06-18,Evening,12,25.589152,85.158922,25.600943,85.162859,5,"[{""checkpoint"": 1, ""latitude"": 25.589152, ""longitude"": 85.158922}, {""checkpoint"": 2, ""latitude"": 25.579684, ""longitude"": 85.15672}, {""checkpoint"": 3, ""latitude"": 25.592819, ""longitude"": 85.150878}, {""checkpoint"": 4, ""latitude"": 25.591586, ""longitude"": 85.162819}, {""checkpoint"": 5, ""latitude"": 25.600943, ""longitude"": 85.162859}]",21.9,51,3,Police Motorcycle,In Progress
ROUTE000414,Bihar,Zone_16,Historical,Preventive Patrol,MEDIUM,40.17,90,2026-08-20,Morning,8,25.588058,85.151775,25.597807,85.160989,7,"[{""checkpoint"": 1, ""latitude"": 25.588058, ""longitude"": 85.151775}, {""checkpoint"": 2, ""latitude"": 25.600819, ""longitude"": 85.153905}, {""checkpoint"": 3, ""latitude"": 25.587253, ""longitude"": 85.160997}, {""checkpoint"": 4, ""latitude"": 25.592387, ""longitude"": 85.166596}, {""checkpoint"": 5, ""latitude"": 25.5845, ""longitude"": 85.155073}, {""checkpoint"": 6, ""latitude"": 25.595722, ""longitude"": 85.167829}, {""checkpoint"": 7, ""latitude"": 25.597807, ""longitude"": 85.160989}]",20.48,49,2,Police Motorcycle,In Progress
ROUTE000415,Bihar,Zone_20,Historical,Routine Patrol,MEDIUM,46.84,94,2027-04-01,Evening,16,25.624973,85.160334,25.64914,85.184539,7,"[{""checkpoint"": 1, ""latitude"": 25.624973, ""longitude"": 85.160334}, {""checkpoint"": 2, ""latitude"": 25.632744, ""longitude"": 85.173857}, {""checkpoint"": 3, ""latitude"": 25.642755, ""longitude"": 85.185787}, {""checkpoint"": 4, ""latitude"": 25.654311, ""longitude"": 85.17766}, {""checkpoint"": 5, ""latitude"": 25.646209, ""longitude"": 85.166323}, {""checkpoint"": 6, ""latitude"": 25.641496, ""longitude"": 85.17593}, {""checkpoint"": 7, ""latitude"": 25.64914, ""longitude"": 85.184539}]",23.53,52,2,Police Motorcycle,Cancelled
ROUTE000416,Bihar,Zone_48,AI Predicted,High-Risk Patrol,HIGH,61.56,104,2027-07-17,Night,2,25.582344,85.127751,25.586703,85.135222,6,"[{""checkpoint"": 1, ""latitude"": 25.582344, ""longitude"": 85.127751}, {""checkpoint"": 2, ""latitude"": 25.591685, ""longitude"": 85.130783}, {""checkpoint"": 3, ""latitude"": 25.590568, ""longitude"": 85.129082}, {""checkpoint"": 4, ""latitude"": 25.592103, ""longitude"": 85.124206}, {""checkpoint"": 5, ""latitude"": 25.598857, ""longitude"": 85.133332}, {""checkpoint"": 6, ""latitude"": 25.586703, ""longitude"": 85.135222}]",12.29,25,6,Police Jeep,In Progress
ROUTE000417,Bihar,Zone_13,Historical,Preventive Patrol,MEDIUM,45.25,94,2026-12-19,Night,22,25.600378,85.137506,25.597002,85.153046,8,"[{""checkpoint"": 1, ""latitude"": 25.600378, ""longitude"": 85.137506}, {""checkpoint"": 2, ""latitude"": 25.596142, ""longitude"": 85.147857}, {""checkpoint"": 3, ""latitude"": 25.587903, ""longitude"": 85.145482}, {""checkpoint"": 4, ""latitude"": 25.591055, ""longitude"": 85.134963}, {""checkpoint"": 5, ""latitude"": 25.590268, ""longitude"": 85.131927}, {""checkpoint"": 6, ""latitude"": 25.597223, ""longitude"": 85.146884}, {""checkpoint"": 7, ""latitude"": 25.611547, ""longitude"": 85.145207}, {""checkpoint"": 8, ""latitude"": 25.597002, ""longitude"": 85.153046}]",10.05,13,4,Police Motorcycle,In Progress
ROUTE000418,Bihar,Zone_32,Historical,General Patrol,LOW,22.6,78,2027-06-15,Evening,16,25.592709,85.140149,25.58237,85.165175,7,"[{""checkpoint"": 1, ""latitude"": 25.592709, ""longitude"": 85.140149}, {""checkpoint"": 2, ""latitude"": 25.586466, ""longitude"": 85.146947}, {""checkpoint"": 3, ""latitude"": 25.572099, ""longitude"": 85.149569}, {""checkpoint"": 4, ""latitude"": 25.582658, ""longitude"": 85.152691}, {""checkpoint"": 5, ""latitude"": 25.581806, ""longitude"": 85.156423}, {""checkpoint"": 6, ""latitude"": 25.576996, ""longitude"": 85.152671}, {""checkpoint"": 7, ""latitude"": 25.58237, ""longitude"": 85.165175}]",17.66,31,3,Police Car,In Progress
ROUTE000419,Bihar,Zone_2,AI Predicted,Preventive Patrol,MEDIUM,26.28,79,2027-02-15,Night,20,25.568356,85.158409,25.565638,85.158487,4,"[{""checkpoint"": 1, ""latitude"": 25.568356, ""longitude"": 85.158409}, {""checkpoint"": 2, ""latitude"": 25.561077, ""longitude"": 85.1691}, {""checkpoint"": 3, ""latitude"": 25.560884, ""longitude"": 85.161513}, {""checkpoint"": 4, ""latitude"": 25.565638, ""longitude"": 85.158487}]",7.0,14,2,Police Motorcycle,Scheduled
